Year,Male,Female,Team,Unknown
1989,76,29,4,0
1990,237,82,2,0
1991,191,49,0,0
1992,239,26,3,2
1993,120,34,0,0
1994,90,21,6,64
1995,138,18,0,1
1996,102,18,0,2
1997,152,33,0,14
1998,176,18,0,2
1999,434,31,1,3
2000,214,23,0,6
2001,210,88,0,0
2002,257,17,0,0
2003,242,25,0,1
2004,51,4,0,0
2005,37,7,0,1
2006,91,4,0,0
2007,165,38,2,1
2008,34,17,0,0
2009,25,35,0,0
2010,72,8,0,0
2011,28,13,0,0
2012,33,9,0,1
2013,98,17,0,11
2014,138,44,0,0
2015,51,37,0,3
2016,156,20,63,24
2017,158,32,0,1
2018,4,1,0,0
2019,70,11,0,0